TZ,CH
America/Argentina/ComodRivadavia,32
America/Argentina/Buenos_Aires,30
America/Argentina/Rio_Gallegos,30
America/North_Dakota/New_Salem,30
America/Indiana/Indianapolis,28
America/Argentina/Catamarca,27
America/Kentucky/Louisville,27
America/Kentucky/Monticello,27
America/North_Dakota/Beulah,27
America/North_Dakota/Center,27
America/Argentina/La_Rioja,26
America/Argentina/San_Juan,26
America/Argentina/San_Luis,26
America/Indiana/Petersburg,26
America/Argentina/Cordoba,25
America/Argentina/Mendoza,25
America/Argentina/Tucuman,25
America/Argentina/Ushuaia,25
America/Indiana/Tell_City,25
America/Indiana/Vincennes,25
Antarctica/DumontDUrville,25
Canada/East-Saskatchewan,24
America/Argentina/Jujuy,23
America/Argentina/Salta,23
America/Indiana/Marengo,23
America/Indiana/Winamac,23
America/Bahia_Banderas,22
America/Port-au-Prince,22
Atlantic/South_Georgia,22
America/Cambridge_Bay,21
America/Ciudad_Juarez,21
America/Coral_Harbour,21
America/Indiana/Vevay,21
America/Lower_Princes,21
America/Port_of_Spain,21
America/Santo_Domingo,21
America/St_Barthelemy,21
America/Swift_Current,21
Australia/Broken_Hill,21
Antarctica/South_Pole,21
America/Blanc-Sablon,20
America/Buenos_Aires,20
America/Campo_Grande,20
America/Danmarkshavn,20
America/Dawson_Creek,20
America/Indiana/Knox,20
America/Indianapolis,20
America/Punta_Arenas,20
America/Rankin_Inlet,20
America/Santa_Isabel,20
America/Scoresbysund,20
Africa/Dar_es_Salaam,20
Australia/Queensland,20
Australia/Yancowinna,20
Europe/BrAmericasels,20
Pacific/Bougainville,20
Pacific/Port_Moresby,20
Antarctica/Macquarie,20
America/El_Salvador,19
America/Fort_Nelson,19
America/Los_Angeles,19
America/Mexico_City,19
America/Pangnirtung,19
America/Porto_Velho,19
America/Puerto_Rico,19
America/Rainy_River,19
America/Tegucigalpa,19
America/Thunder_Bay,19
America/Yellowknife,19
Africa/Johannesburg,19
Atlantic/Cape_Verde,19
Australia/Lord_Howe,19
Australia/Melbourne,19
Canada/Newfoundland,19
Canada/Saskatchewan,19
Indian/Antananarivo,19
Pacific/Guadalcanal,19
Arctic/Longyearbyen,19
America/Costa_Rica,18
America/Fort_Wayne,18
America/Grand_Turk,18
America/Grand_Turk,18
America/Guadeloupe,18
America/Hermosillo,18
America/Kralendijk,18
America/Louisville,18
America/Martinique,18
America/Metlakatla,18
America/Montevideo,18
America/Montserrat,18
America/Paramaribo,18
America/Porto_Acre,18
America/Rio_Branco,18
America/St_Vincent,18
America/Whitehorse,18
Africa/Addis_Ababa,18
Africa/Brazzaville,18
Africa/Ouagadougou,18
Asia/Srednekolymsk,18
Asia/Ujung_Pandang,18
Asia/Yekaterinburg,18
Atlantic/Jan_Mayen,18
Atlantic/Reykjavik,18
Atlantic/St_Helena,18
Australia/Adelaide,18
Australia/Brisbane,18
Australia/Canberra,18
Australia/Lindeman,18
Australia/Tasmania,18
Australia/Victoria,18
Chile/EasterIsland,18
Europe/Isle_of_Man,18
Europe/Kaliningrad,18
Pacific/Kiritimati,18
Antarctica/McMurdo,18
Antarctica/Rothera,18
US/Indiana-Starke,17
America/Anchorage,17
America/Araguaina,17
America/Boa_Vista,17
America/Catamarca,17
America/Chihuahua,17
America/Fortaleza,17
America/Glace_Bay,17
America/Goose_Bay,17
America/Guatemala,17
America/Guayaquil,17
America/Matamoros,17
America/Menominee,17
America/Monterrey,17
America/Sao_Paulo,17
America/St_Thomas,17
America/Vancouver,17
Africa/Casablanca,17
Africa/Libreville,17
Africa/Lubumbashi,17
Africa/Nouakchott,17
Africa/Porto-Novo,17
Asia/Kuala_Lumpur,17
Asia/Novokuznetsk,17
Chile/Continental,17
Europe/Bratislava,17
Europe/Copenhagen,17
Europe/Luxembourg,17
Europe/San_Marino,17
Europe/Simferopol,17
Europe/Zaporozhye,17
Pacific/Enderbury,17
Pacific/Galapagos,17
Pacific/Kwajalein,17
Pacific/Marquesas,17
Pacific/Pago_Pago,17
Pacific/Rarotonga,17
Pacific/Tongatapu,17
Antarctica/Mawson,17
Antarctica/Palmer,17
Antarctica/Vostok,17
America/Anguilla,16
America/Asuncion,16
America/Atikokan,16
America/Barbados,16
America/Dominica,16
America/Edmonton,16
America/Eirunepe,16
America/Ensenada,16
America/Mazatlan,16
America/Miquelon,16
